Room,Capacity
MER_A17                                                                        ,250
MER_B32                                                                        ,150
MER_C27                                                                        ,30
MER_G02                                                                        ,20
MER_G09                                                                        ,20
MER_G20                                                                        ,20
MER_H11                                                                        ,20
